,Country Name,FY2022 Grants Amount,UN Region,Population,Population Date,id,log_FY2022 Grants Amount
33,DR Congo,668994930.73,Africa,92378000.0,1 Jul 2021,DR Congo,8.82542282693923
34,Congo Republic,6425367.0,Africa,5657000.0,1 Jul 2021,Congo Republic,6.807897938466043
35,Colombia,336436777.24,Americas,51049498.0,30 Jun 2021,Colombia,8.526903464175131
36,Costa Rica,70691463.96,Americas,5163038.0,30 Jun 2021,Costa Rica,7.849366975623194
37,Kosovo,40930747.52,Europe,1798188.0,31 Dec 2020,Kosovo,7.612049676256474
38,Cuba,4494014.25,Americas,11113215.0,31 Dec 2021,Cuba,6.6526344451829225
39,Cyprus,1250009.3,Asia,918100.0,1 Oct 2021,Cyprus,6.0969132441469815
40,Cyprus,1250009.3,Asia,382230.0,31 Dec 2019,Cyprus,6.0969132441469815
41,Czech Republic,10732218.0,Europe,10516708.0,1 Jan 2022,Czech Republic,7.030689485769887
42,Germany,14711993.43,Europe,83695430.0,31 Mar 2022,Germany,7.167671522285256
43,Djibouti,10997333.0,Africa,976107.0,1 Jul 2019,Djibouti,7.04128737572013
44,Denmark,8469362.18,Europe,5883562.0,1 Apr 2022,Denmark,6.927850705237843
45,Dominican Republic,103302850.01,Americas,10535535.0,1 Jul 2021,Dominican Republic,8.014112303383534
46,Algeria,10241107.37,Africa,45400000.0,1 Jan 2022,Algeria,7.010346919401366
47,Ecuador,62876902.27,Americas,18023212.0,19 Jul 2022,Ecuador,7.798491137354113
48,Egypt,142816093.03,Africa,103596325.0,19 Jul 2022,Egypt,8.154777148058727
49,Eritrea,3925.0,Africa,3601000.0,1 Jul 2021,Eritrea,3.5938396610812715
50,Western Sahara,,,,,Western Sahara,
51,Spain,5177576.95,Europe,47432805.0,1 Jan 2022,Spain,6.714126562169458
52,Estonia,1181921.0,Europe,1331796.0,1 Jan 2022,Estonia,6.072588449125045
53,Ethiopia,1343250307.33,Africa,120812698.0,1 Jul 2022,Ethiopia,9.128156948605486
54,Finland,1151775.54,Europe,5550066.0,1 Feb 2022,Finland,6.061367851276867
55,Fiji,6158784.01,Oceania,898402.0,1 Jul 2021,Fiji,6.789494973547962
56,Falkland Islands,,,,,Falkland Islands,
57,France,22203175.91,Europe,67874000.0,1 Jun 2022,France,7.346415099745152
58,Gabon,8498086.94,Africa,2233272.0,1 Jul 2021,Gabon,6.929321169842353
59,United Kingdom,82030752.8,Europe,67081234.0,30 Jun 2020,United Kingdom,7.91397669710974
60,Georgia,52035881.7,Asia,3728573.0,1 Jan 2021,Georgia,7.716302917679342
61,Ghana,246028536.63,Africa,30832019.0,27 Jun 2021,Ghana,8.390985483453662
62,Guinea,16999289.33,Africa,12907395.0,1 Jul 2021,Guinea,7.230430765701165
63,Gambia,28127946.03,Africa,2487000.0,1 Jul 2021,Gambia,7.449138020099605
64,Guinea-Bissau,1526915.0,Africa,1646077.0,1 Jul 2021,Guinea-Bissau,6.1838148615106245
65,Equatorial Guinea,581839.0,Africa,1505588.0,1 Jul 2021,Equatorial Guinea,5.7648028281470864
66,Greece,829085.11,Europe,10603810.0,1 Jan 2022,Greece,5.918599115479195
67,Guatemala,161780958.34,Americas,17109746.0,1 Jul 2021,Guatemala,8.208927403713105
68,French Guiana,,,,,French Guiana,
69,Guyana,2403755.97,Americas,743699.0,1 Jul 2019,Guyana,6.380890375867374
70,Honduras,77663940.78,Americas,9546178.0,1 Jul 2021,Honduras,7.890219423495462
71,Croatia,2228549.29,Europe,3888529.0,31 Aug 2021,Croatia,6.348022244048528
72,Haiti,198299107.11,Americas,11743017.0,1 Jul 2020,Haiti,8.297320758693084
73,Hungary,2166281.39,Europe,9689000.0,1 Jan 2022,Hungary,6.335714868811421
74,Indonesia,65447192.8,Asia,272248500.0,1 Jul 2021,Indonesia,7.815891023268509
75,India,125739142.27,Asia,1373761000.0,1 Mar 2022,India,8.099470493482942
76,Ireland,3619075.2,Europe,5123536.0,3 Apr 2022,Ireland,6.558597607315364
77,Iran,49500.0,Asia,85617295.0,19 Jul 2022,Iran,4.694605198933568
78,Iraq,249190711.04,Asia,41190700.0,1 Jul 2021,Iraq,8.396531849306317
79,Iceland,820926.0,Europe,377280.0,31 Mar 2022,Iceland,5.914304010663775
80,Israel,29858756.19,Asia,9548060.0,19 Jul 2022,Israel,7.475071712596295
81,Italy,398435413.03,Europe,58906742.0,31 Mar 2022,Italy,8.600357931659346
82,Jamaica,15203197.65,Americas,2734093.0,31 Dec 2019,Jamaica,7.181934941609026
83,Jordan,189612871.14,Asia,11256108.0,19 Jul 2022,Jordan,8.277867814412122
84,Japan,5323783.15,Asia,125502000.0,1 Oct 2021,Japan,6.726220357344261
85,Kazakhstan,24163510.37,Asia,19267584.0,19 Jul 2022,Kazakhstan,7.383160026951421
86,Kenya,1223849981.33,Africa,47564296.0,31 Aug 2019,Kenya,9.087728185559902
87,Kyrgyz Republic,23424982.58,Asia,6700000.0,1 Apr 2021,Kyrgyz Republic,7.369679276596627
88,Cambodia,75451768.07,Asia,15552211.0,3 Mar 2019,Cambodia,7.877669421103628
89,South Korea,4570727.72,Asia,51745000.0,31 Dec 2021,South Korea,6.659985350971336
90,Kuwait,407313.98,Asia,4670713.0,31 Dec 2020,Kuwait,5.609929316377828
91,Laos,83036581.23,Asia,7337783.0,1 Jul 2021,Laos,7.919269460163457
92,Lebanon,187719084.66,Asia,6769000.0,1 Jul 2021,Lebanon,8.273508427875422
93,Liberia,34363145.67,Africa,4661010.0,1 Jul 2021,Liberia,7.536092913150796
94,Libya,30369302.75,Africa,7054493.0,1 Jul 2022,Libya,7.482434821048868
95,Sri Lanka,55911933.82,Asia,22156000.0,1 Jul 2021,Sri Lanka,7.747504513414655
96,Lesotho,82024219.74,Africa,2159000.0,1 Jul 2021,Lesotho,7.913942107827069
97,Lithuania,260535.81,Europe,2794961.0,1 Jan 2022,Lithuania,5.41586742443612
98,Luxembourg,289500.0,Europe,645397.0,1 Jan 2022,Luxembourg,5.461648568063455
99,Latvia,634002.62,Europe,1874900.0,1 Dec 2021,Latvia,5.802091052596546
100,Morocco,41997782.76,Africa,36664786.0,19 Jul 2022,Morocco,7.623226362766584
101,Moldova,31076702.09,Europe,2597100.0,1 Jan 2021,Moldova,7.4924349245397766
102,Madagascar,125724913.79,Africa,26923353.0,1 Jul 2021,Madagascar,8.099421346495866
103,Mexico,94743222.84,Americas,128271248.0,31 Mar 2022,Mexico,7.976548153854276
104,Macedonia,16017492.37,Europe,1832696.0,1 Nov 2021,Macedonia,7.20459452578594
105,Mali,118478757.1,Africa,21473764.0,1 Jul 2022,Mali,8.073640489575924
106,Malta,1986580.0,Europe,514564.0,31 Dec 2019,Malta,6.298106058874884
107,Myanmar,192602768.31,Asia,55294979.0,1 Jul 2021,Myanmar,8.284662525016538
108,Montenegro,3749482.39,Europe,621306.0,1 Jul 2020,Montenegro,6.57397131821242
109,Mongolia,9339501.4,Asia,3447939.0,19 Jul 2022,Mongolia,6.970323691539657
110,Mozambique,488414186.03,Africa,31616078.0,1 Jul 2022,Mozambique,8.688788269574802
111,Mauritania,16724304.92,Africa,4271197.0,1 Jul 2021,Mauritania,7.223348077071765
112,Malawi,235875637.36,Africa,21507723.0,1 Jul 2022,Malawi,8.372683086682503
113,Malaysia,11437788.94,Asia,32728400.0,19 Jul 2022,Malaysia,7.0583420783062065
114,Namibia,66095730.27,Africa,2550226.0,1 Jul 2021,Namibia,7.820173405324208
115,New Caledonia,82545.41,Oceania,273674.0,1 Jul 2021,New Caledonia,4.916692928996832
116,Niger,156275370.29,Africa,24112753.0,1 Jul 2021,Niger,8.193890536624357
117,Nigeria,1333033215.98,Africa,216746934.0,1 Jul 2022,Nigeria,9.12484097112211
118,Nicaragua,14533400.77,Americas,6595674.0,30 Jun 2020,Nicaragua,7.162367249730409
119,Netherlands,16532139.75,Europe,17717959.0,19 Jul 2022,Netherlands,7.218329067816864
120,Norway,71352231.6,Europe,5435536.0,31 Mar 2022,Norway,7.853407560581847
121,Nepal,55297002.16,Asia,29192480.0,11 Nov 2021,Nepal,7.742701587350622
122,New Zealand,7170810.27,Oceania,5133062.0,19 Jul 2022,New Zealand,6.855568231805564
123,Oman,573073.5,Asia,4527446.0,31 Dec 2021,Oman,5.758210326325729
124,Pakistan,108555922.3,Asia,229488994.0,1 Jul 2022,Pakistan,8.03565352149887
125,Panama,21219148.31,Americas,4278500.0,1 Jul 2020,Panama,7.326727948288679
126,Peru,135263732.29,Americas,33396698.0,1 Jul 2022,Peru,8.131181366606912
127,Philippines,119343935.35,Asia,112170196.0,19 Jul 2022,Philippines,8.076800354545538
128,Papua New Guinea,19268052.0,Oceania,9122994.0,1 Jul 2021,Papua New Guinea,7.28483780970398
129,Poland,6005360.64,Europe,38014000.0,1 May 2022,Poland,6.778539093214194
130,Puerto Rico,,,,,Puerto Rico,
131,North Korea,,,,,North Korea,
132,Portugal,1030327.54,Europe,10347892.0,22 Mar 2021,Portugal,6.012975308396274
133,Paraguay,8310251.29,Americas,7353038.0,1 Jul 2021,Paraguay,6.919614156420732
134,Palestine,37498119.84,Asia,5227193.0,1 Jul 2021,Palestine,7.574009492698824
135,Palestine,15362676.34,Asia,5227193.0,1 Jul 2021,Palestine,7.1864668809587515
136,Qatar,95996.0,Asia,2799202.0,31 Jul 2019,Qatar,4.982253137059153
137,Romania,1324957.21,Europe,19186201.0,1 Jan 2021,Romania,6.122201852792859
138,Russia,9866134.1,Europe,147190000.0,1 Oct 2021,Russia,6.994147014075061
139,Rwanda,91908735.31,Africa,12955768.0,1 Jul 2021,Rwanda,7.963356790130859
140,Saudi Arabia,1321464.13,Asia,35013414.0,1 Jul 2020,Saudi Arabia,6.121055379079919
141,Sudan,396780055.47,Africa,44601270.0,19 Jul 2022,Sudan,8.59854983380216
142,Senegal,99854877.4,Africa,17223497.0,1 Jul 2021,Senegal,7.999369282788823
143,Solomon Islands,34088914.52,Oceania,728041.0,1 Jul 2021,Solomon Islands,7.532613172379383
144,Sierra Leone,12415592.86,Africa,8297882.0,1 Jul 2021,Sierra Leone,7.093967462487365
145,El Salvador,141737474.73,Americas,6825935.0,1 Jul 2021,El Salvador,8.15148469087367
146,Somalia,773882759.08,Africa,16360000.0,1 Jul 2021,Somalia,8.888675171353038
147,Serbia,22740720.09,Europe,6797105.0,1 Jan 2022,Serbia,7.356804212601587
148,South Sudan,518189340.0,Africa,13249924.0,1 Jul 2020,South Sudan,8.71448847459578
149,Suriname,501206.39,Americas,598000.0,1 Jul 2019,Suriname,5.700016599281508
150,Slovakia,1840918.0,Europe,5434712.0,31 Dec 2021,Slovakia,6.265034444158203
151,Slovenia,1177747.51,Europe,2108977.0,1 Jan 2021,Slovenia,6.071052194723556
152,Sweden,7017924.74,Europe,10475203.0,30 Apr 2022,Sweden,6.846208706544254
153,Eswatini,24707993.73,Africa,1172000.0,1 Jul 2021,Eswatini,7.392837482457353
154,Syria,791984365.61,Asia,18276000.0,1 Jul 2021,Syria,8.898716608361813
155,Chad,43764098.33,Africa,16818391.0,1 Jul 2021,Chad,7.64111798514352
156,Togo,2048498.22,Africa,7886000.0,1 Jul 2021,Togo,6.311435590918151
157,Thailand,110288768.25,Asia,66813330.0,19 Jul 2022,Thailand,8.042531286371112
158,Tajikistan,15333226.79,Asia,9506000.0,1 Jan 2021,Tajikistan,7.1856335592656615
159,Turkmenistan,3478381.85,Asia,6118000.0,1 Jul 2021,Turkmenistan,6.5413772562880395
160,Timor-Leste,57719419.07,Asia,1317780.0,1 Jul 2021,Timor-Leste,7.761321951389527
161,Trinidad and Tobago,5228843.67,Americas,1367558.0,30 Jun 2021,Trinidad and Tobago,6.718405657650794
162,Tunisia,60774013.18,Africa,11746695.0,1 Jul 2020,Tunisia,7.783717915701962
163,Turkey,51647168.13,Asia,84680273.0,31 Dec 2021,Turkey,7.7130465136730395
164,Taiwan,3486885.0,Asia,23375314.0,31 Dec 2021,Taiwan,6.542437624264705
165,Tanzania,251361794.53,Africa,59441988.0,1 Jul 2021,Tanzania,8.40029926823574
166,Uganda,500728532.69,Africa,42885900.0,1 Jul 2021,Uganda,8.699602339225478
167,Ukraine,2469135809.71,Europe,41130432.0,1 Feb 2022,Ukraine,9.392544978058922
168,Uruguay,3268665.39,Americas,3554915.0,30 Jun 2021,Uruguay,6.5143704645649425
169,United States,,,,,United States,
170,Uzbekistan,42595024.23,Asia,35661665.0,19 Jul 2022,Uzbekistan,7.629358869626996
171,Venezuela,201675524.92,Americas,28705000.0,1 Jul 2021,Venezuela,8.304653195995876
172,Vietnam,120109053.34,Asia,98505400.0,1 Jul 2021,Vietnam,8.07957574401755
173,Vanuatu,64729.09,Oceania,301295.0,1 Jul 2021,Vanuatu,4.811099501491025
174,Yemen,543858198.38,Asia,30491000.0,1 Jul 2021,Yemen,8.735485679681947
175,South Africa,587339950.63,Africa,60142978.0,1 Jul 2021,South Africa,8.768889542385716
176,Zambia,259739854.53,Africa,18400556.0,1 Jul 2021,Zambia,8.414538592965739
177,Zimbabwe,307433113.05,Africa,15790716.0,1 Jul 2021,Zimbabwe,8.487750642735621
178,Greenland,250000.0,Americas,56562.0,1 Jan 2022,Greenland,5.3979400086720375
